epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.4835,1.27753,2.93833,1.09741,0.01104,1,0.99035,0.65135,0.96584,2.76569,0.87749,0.00022,0.00022,0.00022
2,87.8559,1.15337,1.73054,1.07214,1,0.50732,0.9724,0.65634,0.98029,2.75096,0.9214,0.000455446,0.000455446,0.000455446
3,131.387,1.06363,1.44727,1.04403,0.01299,1,0.96708,0.64448,1.00541,2.83393,0.97659,0.00068614,0.00068614,0.00068614
4,174.025,1.16741,1.46523,1.08267,0.9113,0.17745,0.71865,0.35295,1.47601,3.14816,1.20833,0.000912082,0.000912082,0.000912082
5,214.625,1.15595,1.33702,1.06072,0.91086,0.63793,0.84385,0.48291,1.26994,2.29466,1.0976,0.00113327,0.00113327,0.00113327
6,255.906,1.11822,1.34114,1.08734,0.90938,0.86514,0.9562,0.62527,1.08883,1.97938,1.02038,0.00134971,0.00134971,0.00134971
7,295.023,1.0733,1.31301,1.07359,0.98137,0.90808,0.9888,0.71516,0.96921,1.76909,1.02501,0.0015614,0.0015614,0.0015614
8,334.18,1.10178,1.24029,1.09252,0.92905,0.90311,0.93565,0.63695,1.14305,1.81598,1.0926,0.00176833,0.00176833,0.00176833
9,373.144,1.12359,1.20798,1.11088,0.07295,0.12069,0.05419,0.03525,1.29738,3.40727,1.31269,0.0018416,0.0018416,0.0018416
10,412.578,1.10192,1.07316,1.08609,0.13637,0.44828,0.21054,0.13202,1.1489,4.59254,1.23164,0.0018218,0.0018218,0.0018218
11,455.03,1.05633,1.0408,1.07377,0.8777,0.74241,0.78938,0.59408,0.93505,2.15286,0.97824,0.001802,0.001802,0.001802
12,493.371,0.98136,0.94071,1.038,0.87701,0.86207,0.90235,0.55407,1.28635,1.55109,1.08449,0.0017822,0.0017822,0.0017822
13,533.409,1.01518,0.95575,1.06374,0.63938,0.7948,0.79865,0.60471,0.98621,2.01836,1.00106,0.0017624,0.0017624,0.0017624
14,574.496,1.06938,0.95879,1.07708,0.99417,1,0.995,0.77732,0.87969,0.8526,0.97083,0.0017426,0.0017426,0.0017426
15,615.391,0.98065,0.865,1.05073,0.9655,0.96515,0.98975,0.75271,0.90836,0.82073,1.00434,0.0017228,0.0017228,0.0017228
16,655.209,1.01807,0.82195,1.05249,1,0.99692,0.995,0.81499,0.83792,0.70663,0.93363,0.001703,0.001703,0.001703
17,694.162,1.03017,0.82269,1.07676,0.99594,1,0.995,0.79812,0.83857,0.8021,0.94276,0.0016832,0.0016832,0.0016832
18,733.829,0.96425,0.78453,1.02038,0.99852,1,0.995,0.79931,0.75884,0.66041,0.92494,0.0016634,0.0016634,0.0016634
19,772.996,0.98874,0.77238,1.0467,0.99687,0.94828,0.99283,0.78301,0.80454,0.67885,0.93592,0.0016436,0.0016436,0.0016436
20,812.469,0.89921,0.73087,1.00988,0.9995,0.98276,0.99483,0.7973,0.78331,0.62858,0.93128,0.0016238,0.0016238,0.0016238
21,853.418,0.97259,0.70814,1.061,1,0.99838,0.995,0.79547,0.78002,0.62817,0.93056,0.001604,0.001604,0.001604
22,893.867,0.99918,0.72434,1.07019,0.99808,1,0.995,0.8036,0.7869,0.62203,0.92675,0.0015842,0.0015842,0.0015842
23,933.373,0.99607,0.70956,1.06308,0.99879,1,0.995,0.79599,0.78868,0.57735,0.93099,0.0015644,0.0015644,0.0015644
24,972.763,0.95495,0.6988,1.04834,1,0.99961,0.995,0.78826,0.80405,0.58157,0.94153,0.0015446,0.0015446,0.0015446
25,1011.2,0.93602,0.65139,1.01697,1,0.99969,0.995,0.78859,0.803,0.58997,0.94038,0.0015248,0.0015248,0.0015248
26,1049.49,0.93738,0.65828,1.05954,0.99763,0.98276,0.99467,0.81033,0.78594,0.54996,0.90591,0.001505,0.001505,0.001505
27,1088.77,0.88535,0.61161,1.0049,0.99773,1,0.995,0.78236,0.9078,0.56942,0.9408,0.0014852,0.0014852,0.0014852
28,1128.57,0.91593,0.62038,1.00531,0.99589,0.98276,0.99225,0.78187,0.84543,0.69544,0.95804,0.0014654,0.0014654,0.0014654
29,1168.29,0.91482,0.62169,1.03223,1,0.99844,0.995,0.77912,0.86303,0.59148,0.95642,0.0014456,0.0014456,0.0014456
30,1209.21,0.89398,0.61272,1.01042,0.96489,0.94768,0.97742,0.79838,0.80915,0.66089,0.97568,0.0014258,0.0014258,0.0014258
31,1248.79,0.93293,0.63185,1.02748,0.71982,0.86207,0.80252,0.61235,0.94652,0.95193,1.04181,0.001406,0.001406,0.001406
32,1288.36,0.88272,0.60041,1.01737,0.99892,0.98276,0.99207,0.79086,0.79908,0.50864,0.93779,0.0013862,0.0013862,0.0013862
33,1327.58,0.88425,0.56911,1.01013,1,0.99856,0.995,0.81063,0.76296,0.47598,0.94458,0.0013664,0.0013664,0.0013664
34,1367.08,0.88114,0.56628,1.0135,0.99763,0.98276,0.99483,0.79974,0.76239,0.48442,0.95478,0.0013466,0.0013466,0.0013466
35,1406.91,0.93495,0.59013,1.04476,0.99868,0.98276,0.99483,0.73735,0.90474,0.51741,1.0671,0.0013268,0.0013268,0.0013268
36,1446.36,0.86693,0.58024,0.99598,1,0.99929,0.995,0.81408,0.7311,0.47982,0.90353,0.001307,0.001307,0.001307
37,1486.28,0.90782,0.55613,1.01114,1,0.99852,0.995,0.81725,0.73129,0.4713,0.89629,0.0012872,0.0012872,0.0012872
38,1525.64,0.89803,0.5838,1.01516,0.99845,1,0.995,0.81312,0.75377,0.45885,0.90876,0.0012674,0.0012674,0.0012674
39,1565.77,0.87866,0.55108,1.01696,0.99874,0.98276,0.99467,0.8201,0.72953,0.43999,0.91108,0.0012476,0.0012476,0.0012476
40,1604.52,0.8784,0.5391,1.00359,1,0.99861,0.995,0.81959,0.72326,0.45096,0.91324,0.0012278,0.0012278,0.0012278
41,1643.45,0.90656,0.55312,1.01855,0.99802,1,0.995,0.83827,0.70763,0.43795,0.91132,0.001208,0.001208,0.001208
42,1683.17,0.87267,0.54866,1.01133,0.99869,1,0.995,0.8271,0.70664,0.43026,0.90576,0.0011882,0.0011882,0.0011882
43,1722.85,0.82309,0.52485,0.97046,0.9989,1,0.995,0.8215,0.69787,0.41194,0.89091,0.0011684,0.0011684,0.0011684
44,1763.47,0.81447,0.50584,0.97185,0.99753,1,0.995,0.83366,0.71845,0.42929,0.88957,0.0011486,0.0011486,0.0011486
45,1803.81,0.85395,0.50809,0.991,0.99852,1,0.995,0.83339,0.69065,0.40384,0.88674,0.0011288,0.0011288,0.0011288
46,1843.43,0.81879,0.53071,0.98064,0.99825,1,0.995,0.82234,0.69043,0.39746,0.88823,0.001109,0.001109,0.001109
47,1882.84,0.87437,0.53675,1.00589,0.99885,1,0.995,0.81066,0.73459,0.40643,0.90687,0.0010892,0.0010892,0.0010892
48,1922.16,0.84392,0.49031,0.98587,0.99769,1,0.995,0.83287,0.69758,0.40862,0.88391,0.0010694,0.0010694,0.0010694
49,1961.76,0.83665,0.49272,0.98572,0.99942,1,0.995,0.82306,0.69992,0.40109,0.88941,0.0010496,0.0010496,0.0010496
50,2000.94,0.81869,0.48942,0.99006,1,0.99568,0.995,0.81934,0.70893,0.40766,0.88867,0.0010298,0.0010298,0.0010298
51,2040.34,0.86797,0.52036,1.01084,0.9829,1,0.995,0.83443,0.71205,0.40607,0.90314,0.00101,0.00101,0.00101
52,2079.93,0.81094,0.49966,0.97901,0.99689,1,0.995,0.83131,0.71471,0.4028,0.909,0.0009902,0.0009902,0.0009902
53,2119.61,0.80677,0.46064,0.97081,1,0.99961,0.995,0.82356,0.69483,0.39187,0.90275,0.0009704,0.0009704,0.0009704
54,2158.85,0.84232,0.51342,0.99137,0.99828,1,0.995,0.81595,0.70216,0.3857,0.90461,0.0009506,0.0009506,0.0009506
55,2197.56,0.79506,0.46709,0.96004,0.99884,1,0.995,0.83277,0.6985,0.38046,0.89781,0.0009308,0.0009308,0.0009308
56,2236.31,0.88465,0.49345,0.99866,0.99893,1,0.995,0.80953,0.70533,0.37881,0.9032,0.000911,0.000911,0.000911
57,2274.74,0.79288,0.45715,0.95906,0.99893,1,0.995,0.83059,0.70071,0.38232,0.89524,0.0008912,0.0008912,0.0008912
58,2314.19,0.85225,0.46842,0.98893,0.99884,1,0.995,0.84014,0.67363,0.37909,0.8842,0.0008714,0.0008714,0.0008714
59,2354.73,0.79657,0.50184,0.9843,0.99871,1,0.995,0.83419,0.72291,0.38709,0.90142,0.0008516,0.0008516,0.0008516
60,2394.32,0.81885,0.46503,0.96762,1,0.99892,0.995,0.8145,0.73493,0.44279,0.91033,0.0008318,0.0008318,0.0008318
61,2437.8,0.76307,0.46667,0.93958,0.99937,0.98276,0.99451,0.81635,0.72662,0.42949,0.91126,0.000812,0.000812,0.000812
62,2477.61,0.77762,0.45986,0.97385,0.99848,0.98276,0.99379,0.83015,0.71211,0.40132,0.90203,0.0007922,0.0007922,0.0007922
63,2520.04,0.82668,0.45723,0.98425,0.99861,0.98276,0.99467,0.8378,0.69903,0.3977,0.89734,0.0007724,0.0007724,0.0007724
64,2560.47,0.7553,0.45024,0.95365,0.99865,1,0.995,0.84685,0.69429,0.38752,0.89478,0.0007526,0.0007526,0.0007526
65,2599.84,0.79459,0.44388,0.96719,0.99913,1,0.995,0.83688,0.70001,0.37315,0.90186,0.0007328,0.0007328,0.0007328
66,2639.5,0.76634,0.44297,0.94868,0.9985,1,0.995,0.84153,0.65481,0.35736,0.8823,0.000713,0.000713,0.000713
67,2680.25,0.79074,0.45614,0.97177,0.99823,1,0.995,0.83923,0.65497,0.35819,0.87901,0.0006932,0.0006932,0.0006932
68,2721.8,0.74834,0.44899,0.97543,0.99777,1,0.995,0.84781,0.64027,0.34982,0.87217,0.0006734,0.0006734,0.0006734
69,2762.13,0.77357,0.43546,0.95763,0.99741,1,0.995,0.86427,0.63322,0.3506,0.86792,0.0006536,0.0006536,0.0006536
70,2801.14,0.73696,0.43858,0.95269,0.99785,1,0.995,0.85173,0.62284,0.35348,0.86792,0.0006338,0.0006338,0.0006338
71,2840.13,0.73866,0.42822,0.95924,0.99795,1,0.995,0.86285,0.6385,0.3516,0.86723,0.000614,0.000614,0.000614
72,2880.67,0.78516,0.43293,0.96323,0.99881,1,0.995,0.8594,0.64463,0.35073,0.86576,0.0005942,0.0005942,0.0005942
73,2920.99,0.71811,0.42227,0.9423,0.99884,1,0.995,0.86375,0.62541,0.34674,0.87104,0.0005744,0.0005744,0.0005744
74,2960.75,0.77865,0.45286,0.94941,0.99894,1,0.995,0.8696,0.62959,0.33863,0.86955,0.0005546,0.0005546,0.0005546
75,3001.23,0.80302,0.45914,0.97986,0.99889,1,0.995,0.86571,0.64009,0.3492,0.86704,0.0005348,0.0005348,0.0005348
76,3046.34,0.73778,0.43779,0.94183,0.99887,1,0.995,0.85903,0.64056,0.33681,0.87389,0.000515,0.000515,0.000515
77,3089.06,0.80688,0.4604,0.99476,0.99885,1,0.995,0.85554,0.6456,0.341,0.87513,0.0004952,0.0004952,0.0004952
78,3129.28,0.75047,0.44312,0.93381,0.99897,1,0.995,0.85523,0.64041,0.35085,0.88185,0.0004754,0.0004754,0.0004754
79,3168.46,0.70981,0.41043,0.95265,0.99966,1,0.995,0.84879,0.64764,0.34182,0.88622,0.0004556,0.0004556,0.0004556
80,3208.05,0.76909,0.44498,0.96976,0.99914,1,0.995,0.84682,0.65101,0.34105,0.88962,0.0004358,0.0004358,0.0004358
81,3249.01,0.73798,0.40717,0.94844,0.99918,1,0.995,0.85079,0.66048,0.3335,0.89314,0.000416,0.000416,0.000416
82,3294.9,0.72867,0.41093,0.95718,0.99924,1,0.995,0.85315,0.64405,0.32982,0.89096,0.0003962,0.0003962,0.0003962
83,3334.28,0.72531,0.40444,0.96049,1,0.99958,0.995,0.85322,0.63421,0.32689,0.8866,0.0003764,0.0003764,0.0003764
84,3374.3,0.70744,0.40439,0.94209,1,0.99909,0.995,0.86226,0.65103,0.33306,0.88889,0.0003566,0.0003566,0.0003566
85,3413.44,0.71445,0.40803,0.94321,1,0.99934,0.995,0.85837,0.64114,0.3417,0.88685,0.0003368,0.0003368,0.0003368
86,3452.7,0.72099,0.39869,0.94758,0.99934,1,0.995,0.86642,0.62766,0.32941,0.87603,0.000317,0.000317,0.000317
87,3492.5,0.69572,0.3873,0.93757,0.999,1,0.995,0.86849,0.61416,0.33146,0.86788,0.0002972,0.0002972,0.0002972
88,3533.05,0.68861,0.38659,0.92954,0.99893,1,0.995,0.87178,0.61906,0.33271,0.86607,0.0002774,0.0002774,0.0002774
89,3574.75,0.70109,0.40616,0.93541,0.99887,1,0.995,0.86904,0.61092,0.31715,0.86562,0.0002576,0.0002576,0.0002576
90,3618.06,0.69035,0.38465,0.92273,0.99863,1,0.995,0.86493,0.60655,0.30735,0.86361,0.0002378,0.0002378,0.0002378
91,3660.56,0.64802,0.35364,0.89033,0.99862,1,0.995,0.86303,0.61169,0.30876,0.86422,0.000218,0.000218,0.000218
92,3700.3,0.64283,0.34878,0.92221,0.99876,1,0.995,0.87094,0.61808,0.31635,0.86662,0.0001982,0.0001982,0.0001982
93,3744.05,0.66071,0.35939,0.90619,0.99866,1,0.995,0.86219,0.62569,0.31588,0.86981,0.0001784,0.0001784,0.0001784
94,3785.67,0.6392,0.33975,0.90289,0.99837,1,0.995,0.86006,0.62401,0.31407,0.87077,0.0001586,0.0001586,0.0001586
95,3827.22,0.63442,0.34175,0.915,0.99744,1,0.995,0.86457,0.61343,0.3083,0.86704,0.0001388,0.0001388,0.0001388
96,3868.08,0.63991,0.33335,0.8976,0.99694,1,0.995,0.87364,0.60868,0.30448,0.8653,0.000119,0.000119,0.000119
97,3907.55,0.64549,0.33995,0.90568,0.99689,1,0.995,0.87092,0.60664,0.30484,0.8648,9.92e-05,9.92e-05,9.92e-05
98,3946.97,0.65503,0.33516,0.90642,0.99732,1,0.995,0.86873,0.60639,0.30364,0.86366,7.94e-05,7.94e-05,7.94e-05
99,3985.79,0.65541,0.35289,0.9069,0.99755,1,0.995,0.8707,0.60677,0.30454,0.86324,5.96e-05,5.96e-05,5.96e-05
100,4024.56,0.6208,0.33227,0.89429,0.99773,1,0.995,0.8695,0.6062,0.30422,0.86268,3.98e-05,3.98e-05,3.98e-05
